permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,folder_owner,folder_owner_addrhouse,folder_owner_addrstreet,folder_owner_addrstreettype,folder_owner_addrunittype,folder_owner_addrunit,folder_owner_addrcity,folder_owner_addrprovince,folder_owner_addrpostal,folder_owner_phone,property_owner,property_owner_addrhouse,property_owner_addrstreet,property_owner_addrstreettype,property_owner_addrunittype,property_owner_addrunit,property_owner_addrcity,property_owner_addrprovince,property_owner_addrpostal,property_owner_phone,total_existing_bldg_footage,total_new_add_footage,total_valuation_remodel,total_job_valuation,remodel_repair_footage,number_of_units,usage_category,legal_description,geocoded_address,lat,lng,accuracy,city,postal_code,state,county
1987-001407 BP,C- 319 Churches and Othr Religious Bldgs,New,3901 Speedway                      A .00000,07/10/1987,New Sunday School Classroom Bldg,Final,,,,,,,,,,,HYDE PARK BAPTIST CHURCH,,,,,,AUSTIN,TX,78751 4625,,,,,3750000,,1,,Lot:   Block: 35 Subdivision: HYDE PARK ADDITION BLOCK 35 RESUB,3901 SPEEDWAY,30.30216954,-97.73181305,,,,,
1987-001407 BP,C- 319 Churches and Othr Religious Bldgs,New,3901 Speedway                      A .00000,07/10/1987,New Sunday School Classroom Bldg,Final,,,,,,,,,,,HYDE PARK BAPTIST CHURCH,3901,SPEEDWAY,,,,AUSTIN,TX,78751-4625,(512) 465-8383,,,,3750000,,1,,Lot:   Block: 35 Subdivision: HYDE PARK ADDITION BLOCK 35 RESUB,3901 SPEEDWAY,30.30216954,-97.73181305,,,,,
1987-001407 DS,Com. Driveway & Sidewalk,New,3901 Speedway                      A .00000,07/10/1987,New Sunday School Classroom Bldg,Final,,,,,,,,,,,HYDE PARK BAPTIST CHURCH,,,,,,AUSTIN,TX,78751 4625,,,,,3750000,,,,Lot:   Block: 35 Subdivision: HYDE PARK ADDITION BLOCK 35 RESUB,3901 SPEEDWAY,30.30216954,-97.73181305,,,,,
1987-001407 DS,Com. Driveway & Sidewalk,New,3901 Speedway                      A .00000,07/10/1987,New Sunday School Classroom Bldg,Final,,,,,,,,,,,HYDE PARK BAPTIST CHURCH,3901,SPEEDWAY,,,,AUSTIN,TX,78751-4625,(512) 465-8383,,,,3750000,,,,Lot:   Block: 35 Subdivision: HYDE PARK ADDITION BLOCK 35 RESUB,3901 SPEEDWAY,30.30216954,-97.73181305,,,,,
1987-001407 EP,C- 319 Churches and Othr Religious Bldgs,New,3901 Speedway                      A .00000,07/10/1987,New Sunday School Classroom Bldg,Final,,,,,,,,,,,HYDE PARK BAPTIST CHURCH,,,,,,AUSTIN,TX,78751 4625,,,,,3750000,,1,,Lot:   Block: 35 Subdivision: HYDE PARK ADDITION BLOCK 35 RESUB,3901 SPEEDWAY,30.30216954,-97.73181305,,,,,
1987-001407 EP,C- 319 Churches and Othr Religious Bldgs,New,3901 Speedway                      A .00000,07/10/1987,New Sunday School Classroom Bldg,Final,,,,,,,,,,,HYDE PARK BAPTIST CHURCH,3901,SPEEDWAY,,,,AUSTIN,TX,78751-4625,(512) 465-8383,,,,3750000,,1,,Lot:   Block: 35 Subdivision: HYDE PARK ADDITION BLOCK 35 RESUB,3901 SPEEDWAY,30.30216954,-97.73181305,,,,,
1987-001407 MP,C- 319 Churches and Othr Religious Bldgs,New,3901 Speedway                      A .00000,07/10/1987,New Sunday School Classroom Bldg,Final,,,,,,,,,,,HYDE PARK BAPTIST CHURCH,3901,SPEEDWAY,,,,AUSTIN,TX,78751-4625,(512) 465-8383,,,,3750000,,1,,Lot:   Block: 35 Subdivision: HYDE PARK ADDITION BLOCK 35 RESUB,3901 SPEEDWAY,30.30216954,-97.73181305,,,,,
1987-001407 MP,C- 319 Churches and Othr Religious Bldgs,New,3901 Speedway                      A .00000,07/10/1987,New Sunday School Classroom Bldg,Final,,,,,,,,,,,HYDE PARK BAPTIST CHURCH,,,,,,AUSTIN,TX,78751 4625,,,,,3750000,,1,,Lot:   Block: 35 Subdivision: HYDE PARK ADDITION BLOCK 35 RESUB,3901 SPEEDWAY,30.30216954,-97.73181305,,,,,
1987-001407 PP,C- 319 Churches and Othr Religious Bldgs,New,3901 Speedway                      A .00000,07/10/1987,New Sunday School Classroom Bldg,Final,,,,,,,,,,,HYDE PARK BAPTIST CHURCH,3901,SPEEDWAY,,,,AUSTIN,TX,78751-4625,(512) 465-8383,,,,3750000,,1,,Lot:   Block: 35 Subdivision: HYDE PARK ADDITION BLOCK 35 RESUB,3901 SPEEDWAY,30.30216954,-97.73181305,,,,,
1987-001407 PP,C- 319 Churches and Othr Religious Bldgs,New,3901 Speedway                      A .00000,07/10/1987,New Sunday School Classroom Bldg,Final,,,,,,,,,,,HYDE PARK BAPTIST CHURCH,,,,,,AUSTIN,TX,78751 4625,,,,,3750000,,1,,Lot:   Block: 35 Subdivision: HYDE PARK ADDITION BLOCK 35 RESUB,3901 SPEEDWAY,30.30216954,-97.73181305,,,,,
1987-011804 BP,C- 327 Stores & Customer Services,New,7811  1 Street South               A .00000,07/10/1987,New Shell Building,Final,,,,,,,,,,,RIDK PLEASANT VALLEY INC,,,,,,AUSTIN,TX,78748 2829,,,,,132000,,1,,Lot: 6 Block:   Subdivision: DAMON A,7811 1 STREET SOUTH,30.1842036,-97.79201328,,,,,
1987-011804 DS,Com. Driveway & Sidewalk,New,7811  1 Street South               A .00000,07/10/1987,New Shell Building,Final,,,,,,,,,,,RIDK PLEASANT VALLEY INC,,,,,,AUSTIN,TX,78748 2829,,,,,132000,,,,Lot: 6 Block:   Subdivision: DAMON A,7811 1 STREET SOUTH,30.1842036,-97.79201328,,,,,
1987-011804 EP,C- 327 Stores & Customer Services,New,7811  1 Street South               A .00000,07/10/1987,New Shell Building,Final,,,,,,,,,,,RIDK PLEASANT VALLEY INC,,,,,,AUSTIN,TX,78748 2829,,,,,132000,,1,,Lot: 6 Block:   Subdivision: DAMON A,7811 1 STREET SOUTH,30.1842036,-97.79201328,,,,,
1987-011804 MP,C- 327 Stores & Customer Services,New,7811  1 Street South               A .00000,07/10/1987,New Shell Building,Final,,,,,,,,,,,RIDK PLEASANT VALLEY INC,,,,,,AUSTIN,TX,78748 2829,,,,,132000,,1,,Lot: 6 Block:   Subdivision: DAMON A,7811 1 STREET SOUTH,30.1842036,-97.79201328,,,,,
1987-011804 PP,C- 327 Stores & Customer Services,New,7811  1 Street South               A .00000,07/10/1987,New Shell Building,Final,,,,,,,,,,,RIDK PLEASANT VALLEY INC,,,,,,AUSTIN,TX,78748 2829,,,,,132000,,1,,Lot: 6 Block:   Subdivision: DAMON A,7811 1 STREET SOUTH,30.1842036,-97.79201328,,,,,
1987-011989 BP,C-1000 Commercial Remodel,Remodel,1000 Peyton Gin Road               A  00000,07/10/1987,"Changing Roof Line-Reroof, Brick Wood Columns,",Final,,,,,,,,,,,,,,,,,,,,,,,,50000,,1,,LOT 1 MEISLER SUBD,1000 PEYTON GIN ROAD,,,,,,,
1987-011989 EP,C-1000 Commercial Remodel,Remodel,1000 Peyton Gin Road               A  00000,07/10/1987,"Changing Roof Line-Reroof, Brick Wood Columns,",Final,,,,,,,,,,,,,,,,,,,,,,,,50000,,1,,LOT 1 MEISLER SUBD,1000 PEYTON GIN ROAD,,,,,,,
1987-011989 MP,C-1000 Commercial Remodel,Remodel,1000 Peyton Gin Road               A  00000,07/10/1987,"Changing Roof Line-Reroof, Brick Wood Columns,",Final,,,,,,,,,,,,,,,,,,,,,,,,50000,,1,,LOT 1 MEISLER SUBD,1000 PEYTON GIN ROAD,,,,,,,
1987-011990 BP,C-1000 Commercial Remodel,Remodel,1000 Peyton Gin Road               A  00000,07/10/1987,Enlarge 2 Lease Spaces (8 & 9),VOID,,,,,,,,,,,,,,,,,,,,,,,,1000,,1,,LOT 1 MEISLER SUBD,1000 PEYTON GIN ROAD,,,,,,,
1987-012214 BP,C-1000 Commercial Remodel,Remodel,9442 Capital Of Texas Highway Northa  00510,07/10/1987,Tenant Finish For Admin Office,Final,,,,,,,,,,,,,,,,,,,,,,,,35760,,1,,LOT 10 BLK A ARBORETUM AT GREAT HILLS THE RESUB OF LOT 2,9442 CAPITAL OF TEXAS HIGHWAY NORTHA 00510,30.38986135,-97.74783424,,,,,
